marca,descripcion,color,talle,cantidad,precio_costo,porcentaje_venta,porcentaje_amigo
EL DON,Remera Tejida Bule Over,CHOCOLATE,S/1/30,1,"$00,019",150,100
EL DON,Remera Tejida Bule Over,CHOCOLATE,M/2/32,1,"$00,019",150,100
EL DON,Remera Tejida Bule Over,BEIGE,L/3/34,1,"$00,019",150,100
EL DON,Remera Tejida Bule Over,BEIGE,XL/36,1,"$00,019",150,100
EL DON,Remera Tejida Bule Over,Negro,S/1/30,1,"$00,019",150,100
EL DON,Remera Focus Over,Negro,M/2/32,1,"$00,020",150,100
EL DON,Remera Waffle Grecia,Negro,S/1/30,1,"$00,015",150,100
EL DON,Remera Waffle Grecia,Negro,M/2/32,1,"$00,015",150,100
EL DON,Remera Waffle Grecia,Negro,L/3/34,1,"$00,015",150,100
EL DON,Remera Waffle Grecia,Verde,S/1/30,1,"$00,015",150,100
EL DON,Remera Waffle Grecia,Verde,M/2/32,1,"$00,015",150,100
EL DON,Remera Waffle Grecia,Laser,XS/28,2,"$00,020",150,100
EL DON,Remera Waffle Grecia,Laser,S/1/30,2,"$00,020",150,100
EL DON,Remera Waffle Grecia,tostado,M/2/32,1,"$00,020",150,100
EL DON,Remera Sidney Over,Negro,XS/28,2,"$00,017",150,100
EL DON,Remera Sidney Over,Negro,S/1/30,1,"$00,017",150,100
EL DON,Remera Sidney Over,Gris,XS/28,1,"$00,017",150,100
EL DON,Remera Sidney Over,Gris,M/2/32,1,"$00,017",150,100
EL DON,Remera Kenia Rustico,Negro,XS/28,1,"$00,014",150,100
EL DON,Remera Kenia Rustico,Negro,M/2/32,1,"$00,014",150,100
EL DON,Remera Kenia Rustico,Blanco,XS/28,2,"$00,014",150,100
EL DON,Remera Kenia Rustico,Blanco,M/2/32,1,"$00,014",150,100
EL DON,Remera Regular ED,Negro,S/1/30,1,"$00,010",150,100
EL DON,Remera Regular ED,Negro,M/2/32,1,"$00,010",150,100
EL DON,Remera Regular ED,Negro,L/3/34,2,"$00,010",150,100
EL DON,Remera Regular ED,Negro,XL/36,2,"$00,010",150,100
EL DON,Remera Regular ED,Chocolate,XS/28,1,"$00,010",150,100
EL DON,Remera Regular ED,Chocolate,L/3/34,2,"$00,010",150,100
EL DON,Remera Regular ED,Chocolate,XL/36,1,"$00,010",150,100
EL DON,Remera Regular ED,Blanco,XS/28,1,"$00,010",150,100
EL DON,Remera Regular ED,Blanco,S/1/30,1,"$00,010",150,100
EL DON,Remera Regular ED,Blanco,M/2/32,1,"$00,010",150,100
EL DON,Remera Regular ED,Blanco,L/3/34,1,"$00,010",150,100
EL DON,Remera Basica Boxy-Fit,Negro,S/1/30,1,"$00,011",150,100
EL DON,Remera Basica Boxy-Fit,Negro,M/2/32,2,"$00,011",150,100
EL DON,Remera Basica Boxy-Fit,Negro,L/3/34,1,"$00,011",150,100
EL DON,Remera Basica Boxy-Fit,Blanco,XS/28,1,"$00,011",150,100
EL DON,Remera Basica Boxy-Fit,Blanco,S/1/30,1,"$00,011",150,100
EL DON,Remera Basica Boxy-Fit,Blanco,M/2/32,1,"$00,011",150,100
EL DON,Remera Basica Boxy-Fit,Gris,M/2/32,1,"$00,011",150,100
EL DON,Camisaco Corderoy Narda,NEGRO,S/1/30,1,"$00,034",150,100
EL DON,Camisaco Corderoy Narda,NEGRO,L/3/34,1,"$00,034",150,100
EL DON,Camisaco Corderoy Narda,BEIGE,XS/28,1,"$00,034",150,100
EL DON,Camisaco Corderoy Narda,BEIGE,S/1/30,2,"$00,034",150,100
EL DON,Camisaco Corderoy Narda,BEIGE,XL/36,1,"$00,034",150,100
EL DON,Camisaco Corderoy Narda,VISON,XS/28,1,"$00,034",150,100
EL DON,Camisaco Corderoy Narda,VISON,S/1/30,1,"$00,034",150,100
EL DON,Camisaco Corderoy Narda,VISON,M/2/32,1,"$00,034",150,100
EL DON,Campera Madison,Negro,S/1/30,1,"$00,035",150,100
EL DON,Campera Madison,Negro,M/2/32,1,"$00,035",150,100
EL DON,Campera Madison,beige,XS/28,1,"$00,035",150,100
EL DON,Campera Madison,beige,S/1/30,1,"$00,035",150,100
EL DON,Campera Madison,beige,M/2/32,1,"$00,035",150,100
EL DON,Campera Madison,beige,L/3/34,1,"$00,035",150,100
EL DON,Campera Lucrecia,NEGRO,S/1/30,1,"$00,044",150,100
EL DON,Campera Lucrecia,NEGRO,XL/36,1,"$00,044",150,100
EL DON,Campera Celine,Negro,M/2/32,1,"$00,051",150,100
EL DON,Campera Celine,Beige,M/2/32,1,"$00,051",150,100
EL DON,Campera Malva,Beige,XS/28,1,"$00,032",150,100
EL DON,Campera Malva,Beige,S/1/30,1,"$00,032",150,100
EL DON,Campera Malva,Beige,L/3/34,1,"$00,032",150,100
EL DON,Buzo Waffle Liviano,NEGRO,XS/28,1,"$00,022",150,100
EL DON,Buzo Waffle Liviano,TOSTADO,XS/28,2,"$00,022",150,100
EL DON,Buzo Waffle Liviano,TOSTADO,S/1/30,1,"$00,022",150,100
EL DON,Buzo Waffle Liviano,TOSTADO,M/2/32,2,"$00,022",150,100
EL DON,Buzo Waffle Liviano,TOSTADO,L/3/34,1,"$00,022",150,100
EL DON,Buzo Waffle Liviano,TOSTADO,XL/36,1,"$00,022",150,100
